play_id,old_game_id,personnel,play_action
2372,2019102004,11,1
2426,2019102004,11,1
2775,2019102004,12,1
2804,2019102004,21,0
2825,2019102004,21,0
2847,2019102004,11,0
2876,2019102004,21,1
2900,2019102004,11,0
2921,2019102004,11,0
2949,2019102004,11,1
3267,2019102004,12,0
3288,2019102004,21,0
3326,2019102004,11,0
3483,2019102004,12,0
3504,2019102004,12,0
3525,2019102004,11,0
3670,2019102004,11,0
3691,2019102004,11,0
3712,2019102004,11,0
60,2019102712,12,0
81,2019102712,21,0
105,2019102712,11,0
129,2019102712,12,0
150,2019102712,11,1
206,2019102712,11,0
227,2019102712,12,0
260,2019102712,11,1
282,2019102712,11,0
306,2019102712,11,0
346,2019102712,11,0
370,2019102712,21,0
561,2019102712,11,1
583,2019102712,21,0
607,2019102712,21,0
744,2019102712,21,0
765,2019102712,11,0
790,2019102712,11,0
858,2019102712,32,0
1270,2019102712,21,0
1291,2019102712,21,1
1328,2019102712,21,0
1349,2019102712,11,1
1368,2019102712,11,0
1622,2019102712,12,1
1647,2019102712,11,1
1671,2019102712,11,0
1700,2019102712,21,0
1722,2019102712,11,0
1743,2019102712,21,0
2126,2019102712,11,0
2148,2019102712,11,0
2172,2019102712,11,0
2201,2019102712,11,0
2239,2019102712,11,0
2508,2019102712,11,1
2532,2019102712,11,0
2556,2019102712,21,1
2594,2019102712,12,0
2615,2019102712,11,0
2637,2019102712,11,0
2661,2019102712,11,0
2682,2019102712,11,0
2703,2019102712,21,0
2727,2019102712,11,1
2751,2019102712,11,0
2803,2019102712,12,0
2829,2019102712,11,0
2868,2019102712,11,0
2967,2019102712,21,1
2986,2019102712,11,0
3024,2019102712,11,0
3046,2019102712,11,0
3067,2019102712,32,0
3438,2019102712,11,0
3459,2019102712,11,0
3691,2019102712,12,0
3712,2019102712,12,0
3733,2019102712,11,0
3754,2019102712,12,0
3792,2019102712,12,0
3830,2019102712,12,0
3868,2019102712,12,0
3906,2019102712,11,0
456,2019110310,21,1
503,2019110310,11,0
527,2019110310,11,1
773,2019110310,11,0
794,2019110310,21,0
858,2019110310,11,0
882,2019110310,20,0
926,2019110310,11,0
948,2019110310,11,0
1122,2019110310,11,0
1143,2019110310,21,0
1198,2019110310,11,0
1222,2019110310,11,0
1257,2019110310,11,0
1278,2019110310,11,0
1304,2019110310,21,0
1326,2019110310,21,0
1347,2019110310,11,0
1859,2019110310,11,0
1880,2019110310,11,0
1901,2019110310,11,0
2158,2019110310,11,0
2187,2019110310,11,0
2211,2019110310,11,1
2233,2019110310,11,0
2252,2019110310,11,0
2465,2019110310,11,0
2486,2019110310,11,0
2510,2019110310,11,0
2534,2019110310,11,0
2558,2019110310,11,0
2580,2019110310,11,0
2604,2019110310,11,0
2956,2019110310,11,0
2985,2019110310,11,0
3015,2019110310,11,0
3039,2019110310,11,1
3063,2019110310,11,0
3092,2019110310,11,0
3116,2019110310,11,0
3140,2019110310,11,0
3164,2019110310,11,0
3189,2019110310,11,0
3525,2019110310,11,0
3554,2019110310,11,0
3593,2019110310,11,0
3617,2019110310,11,0
3642,2019110310,11,0
3664,2019110310,11,0
3693,2019110310,11,0
210,2019111003,12,0
254,2019111003,21,0
278,2019111003,11,0
488,2019111003,21,1
521,2019111003,21,0
542,2019111003,21,1
571,2019111003,13,0
592,2019111003,13,1
625,2019111003,11,0
649,2019111003,11,0
673,2019111003,11,0
971,2019111003,11,1
993,2019111003,11,0
1014,2019111003,11,0
1049,2019111003,11,0
1145,2019111003,12,0
1166,2019111003,12,1
1190,2019111003,11,0
1214,2019111003,22,0
1235,2019111003,23,0
1270,2019111003,23,0
1497,2019111003,21,0
1534,2019111003,11,0
1573,2019111003,11,0
1606,2019111003,12,0
1627,2019111003,12,1
1651,2019111003,11,0
1675,2019111003,11,0
1718,2019111003,12,0
1739,2019111003,12,0
1760,2019111003,11,1
1789,2019111003,22,0
1850,2019111003,11,0
1872,2019111003,11,1
1952,2019111003,11,0
2031,2019111003,13,0
2086,2019111003,11,0
2105,2019111003,11,0
2140,2019111003,11,0
2169,2019111003,12,0
2190,2019111003,11,0
2214,2019111003,11,0
2548,2019111003,12,1
2587,2019111003,12,0
2612,2019111003,11,1
2636,2019111003,11,0
2657,2019111003,11,0
2695,2019111003,11,0
2716,2019111003,11,0
2740,2019111003,11,0
2761,2019111003,12,0
2789,2019111003,11,0
2833,2019111003,11,0
3228,2019111003,12,0
3249,2019111003,12,0
3270,2019111003,12,1
3292,2019111003,11,1
3316,2019111003,11,0
3495,2019111003,11,1
3519,2019111003,22,0
3540,2019111003,11,0
3581,2019111003,11,0
3625,2019111003,21,1
3647,2019111003,11,0
52,2019112410,12,0
73,2019112410,12,1
112,2019112410,21,0
140,2019112410,21,0
161,2019112410,11,0
254,2019112410,11,1
278,2019112410,21,0
303,2019112410,11,0
528,2019112410,12,0
549,2019112410,11,0
573,2019112410,11,0
828,2019112410,21,1
854,2019112410,11,0
888,2019112410,11,0
912,2019112410,11,0
1065,2019112410,11,0
1086,2019112410,11,0
1115,2019112410,11,1
1143,2019112410,21,0
1173,2019112410,11,1
1206,2019112410,12,1
1228,2019112410,11,0
1273,2019112410,11,0
1420,2019112410,12,1
1453,2019112410,11,0
1477,2019112410,11,0
1500,2019112410,11,0
1534,2019112410,11,1
1556,2019112410,21,0
1577,2019112410,11,0
1847,2019112410,12,0
1868,2019112410,12,0
1890,2019112410,11,0
2081,2019112410,11,0
2110,2019112410,11,0
2136,2019112410,11,0
2443,2019112410,21,0
2464,2019112410,12,1
2488,2019112410,11,0
2513,2019112410,11,0
2532,2019112410,11,0
2558,2019112410,11,0
2582,2019112410,11,0
2607,2019112410,12,1
2631,2019112410,11,0
2670,2019112410,11,0
2691,2019112410,12,1
2780,2019112410,11,0
2818,2019112410,11,0
2839,2019112410,11,0
2868,2019112410,11,0
2989,2019112410,21,1
3013,2019112410,11,0
3038,2019112410,21,1
3062,2019112410,11,0
3087,2019112410,11,0
3157,2019112410,12,1
3181,2019112410,12,1
3207,2019112410,11,1
3229,2019112410,11,0
3251,2019112410,11,0
3284,2019112410,11,0
3305,2019112410,12,0
3337,2019112410,11,1
3361,2019112410,11,0
3389,2019112410,11,0
3668,2019112410,11,1
3696,2019112410,11,1
3724,2019112410,11,0
3749,2019112410,11,0
3775,2019112410,11,0
3796,2019112410,11,0
3834,2019112410,11,0
3858,2019112410,11,0
3895,2019112410,11,0
3917,2019112410,11,0
3962,2019112410,11,0
178,2019120107,21,1
211,2019120107,21,0
235,2019120107,21,0
256,2019120107,11,0
285,2019120107,11,0
314,2019120107,11,0
335,2019120107,21,0
724,2019120107,21,0
745,2019120107,21,1
767,2019120107,11,0
793,2019120107,11,0
819,2019120107,11,1
1026,2019120107,12,0
1047,2019120107,12,0
1068,2019120107,11,0
1092,2019120107,12,0
1113,2019120107,12,1
1152,2019120107,11,0
1687,2019120107,11,1
1725,2019120107,11,0
1749,2019120107,11,0
1782,2019120107,11,0
1819,2019120107,11,0
1860,2019120107,11,0
1882,2019120107,11,0
2049,2019120107,11,0
2070,2019120107,11,0
2092,2019120107,11,0
2116,2019120107,12,0
2137,2019120107,11,0
2159,2019120107,11,0
2477,2019120107,12,1
2510,2019120107,11,0
2531,2019120107,12,1
2553,2019120107,11,0
2586,2019120107,12,0
2608,2019120107,11,0
2629,2019120107,11,0
2651,2019120107,11,0
2675,2019120107,11,1
2696,2019120107,11,0
2717,2019120107,11,0
2741,2019120107,12,1
2765,2019120107,23,1
2798,2019120107,23,0
2836,2019120107,12,0
2869,2019120107,11,0
2893,2019120107,11,0
3139,2019120107,11,0
3177,2019120107,11,1
3202,2019120107,11,1
3252,2019120107,11,0
3276,2019120107,11,0
3298,2019120107,21,0
3324,2019120107,11,0
3357,2019120107,11,0
3378,2019120107,11,1
3491,2019120107,12,0
3512,2019120107,12,0
3533,2019120107,12,0
3571,2019120107,13,0
3632,2019120107,11,0
3890,2019120107,13,0
139,2019120803,13,1
163,2019120803,11,0
192,2019120803,12,0
241,2019120803,11,0
262,2019120803,13,0
284,2019120803,13,0
325,2019120803,12,0
486,2019120803,12,0
507,2019120803,11,0
528,2019120803,11,0
656,2019120803,12,1
680,2019120803,21,0
701,2019120803,12,0
722,2019120803,13,0
743,2019120803,11,0
1012,2019120803,13,0
1038,2019120803,13,1
1060,2019120803,11,0
1081,2019120803,11,0
1482,2019120803,12,1
1506,2019120803,21,1
1528,2019120803,11,0
1552,2019120803,11,1
1621,2019120803,11,1
1640,2019120803,11,0
1686,2019120803,11,0
1708,2019120803,11,0
1737,2019120803,11,0
1991,2019120803,21,1
2020,2019120803,21,0
2041,2019120803,12,0
2062,2019120803,21,0
2095,2019120803,12,0
2117,2019120803,11,0
2138,2019120803,11,0
2159,2019120803,11,0
2180,2019120803,11,0
2385,2019120803,21,0
2407,2019120803,21,0
2431,2019120803,11,0
2820,2019120803,13,0
2858,2019120803,11,0
2879,2019120803,11,0
2900,2019120803,11,0
3098,2019120803,12,1
3117,2019120803,11,0
3141,2019120803,11,0
3165,2019120803,21,0
3186,2019120803,12,0
3207,2019120803,11,0
3228,2019120803,11,1
3257,2019120803,11,1
3341,2019120803,12,0
3365,2019120803,12,0
3403,2019120803,12,0
3445,2019120803,12,0
3466,2019120803,12,0
239,2019121503,12,1
261,2019121503,12,0
282,2019121503,11,0
311,2019121503,12,1
333,2019121503,12,0
354,2019121503,11,0
505,2019121503,12,0
526,2019121503,12,0
547,2019121503,11,0
592,2019121503,11,0
761,2019121503,11,0
785,2019121503,11,0
806,2019121503,11,0
827,2019121503,11,0
856,2019121503,11,1
902,2019121503,21,0
924,2019121503,11,0
1297,2019121503,12,0
1318,2019121503,12,1
1347,2019121503,12,0
1368,2019121503,12,0
1397,2019121503,11,0
1419,2019121503,11,0
1682,2019121503,11,0
1706,2019121503,11,0
1728,2019121503,11,0
1757,2019121503,11,0
1778,2019121503,11,0
1807,2019121503,11,0
1863,2019121503,11,0
1977,2019121503,12,0
1998,2019121503,11,1
2022,2019121503,11,0
2056,2019121503,11,0
2077,2019121503,11,0
2266,2019121503,21,1
2288,2019121503,21,0
2312,2019121503,11,0
2336,2019121503,11,0
2405,2019121503,11,0
2542,2019121503,12,1
2566,2019121503,21,0
2587,2019121503,11,0
2608,2019121503,12,0
2629,2019121503,12,0
2651,2019121503,11,0
3000,2019121503,12,0
3021,2019121503,12,0
3046,2019121503,11,0
3459,2019121503,22,1
3481,2019121503,11,0
3513,2019121503,11,0
3535,2019121503,11,0
3687,2019121503,11,0
3708,2019121503,11,0
3729,2019121503,11,0
4042,2019121503,12,0
4118,2019121503,12,0
4156,2019121503,13,0
62,2019122300,12,1
84,2019122300,12,0
105,2019122300,11,0
250,2019122300,21,0
274,2019122300,12,0
300,2019122300,11,0
324,2019122300,12,1
343,2019122300,12,0
367,2019122300,13,1
391,2019122300,11,0
412,2019122300,11,0
624,2019122300,11,0
645,2019122300,11,0
